type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 11:07:30,48.274937655,8.875898349,581.8,26.4,-0.9,0.911,7.33,,
T,2022-01-21 11:07:31,48.274909669,8.875985427,581.7,25.8,-1.1,0.918,7.17,,
T,2022-01-21 11:07:32,48.274877635,8.876072241,581.6,26.5,-1.3,0.926,7.36,,
T,2022-01-21 11:07:33,48.274839982,8.876159657,581.5,27.8,-1.4,0.933,7.72,,
T,2022-01-21 11:07:34,48.274805328,8.876251777,581.4,28.3,-1.5,0.941,7.85,,
T,2022-01-21 11:07:35,48.274770458,8.876344469,581.3,28.4,-1.6,0.949,7.90,,
T,2022-01-21 11:07:36,48.274739509,8.876443339,581.1,29.2,-1.7,0.957,8.11,,
T,2022-01-21 11:07:37,48.274710214,8.876534571,581.0,27.1,-2.0,0.965,7.51,,
T,2022-01-21 11:07:38,48.274681782,8.876623117,580.8,26.3,-2.1,0.972,7.29,,
T,2022-01-21 11:07:39,48.274653905,8.876709932,580.6,25.7,-2.2,0.979,7.15,,







